Moves,Pokemon,Type,Category,estPower
Tackle,Bulbasaur,Normal,Physical,40.0
Growl,Bulbasaur,Normal,Status,0.0
Vine Whip,Bulbasaur,Grass,Physical,45.0
Vine Whip,Bulbasaur,Grass,Physical,45.0
Poison Powder,Bulbasaur,Poison,Status,0.0
Sleep Powder,Bulbasaur,Grass,Status,0.0
Take Down,Bulbasaur,Normal,Physical,76.5
Razor Leaf,Bulbasaur,Grass,Physical,52.25
Sweet Scent,Bulbasaur,Normal,Status,0.0
Growth,Bulbasaur,Normal,Status,0.0
Double-Edge,Bulbasaur,Normal,Physical,120.0
Worry Seed,Bulbasaur,Grass,Status,0.0
Synthesis,Bulbasaur,Grass,Status,0.0
Seed Bomb,Bulbasaur,Grass,Physical,80.0
Amnesia,Bulbasaur,Psychic,Status,0.0
Charm,Bulbasaur,Fairy,Status,0.0
Curse,Bulbasaur,Ghost,Status,0.0
Endure,Bulbasaur,Normal,Status,0.0
Giga Drain,Bulbasaur,Grass,Special,75.0
Grass Whistle,Bulbasaur,Grass,Status,0.0
Grassy Terrain,Bulbasaur,Grass,Status,0.0
Ingrain,Bulbasaur,Grass,Status,0.0
Leaf Storm,Bulbasaur,Grass,Special,117.0
Magical Leaf,Bulbasaur,Grass,Special,60.0
Nature Power,Bulbasaur,Normal,Status,0.0
Petal Dance,Bulbasaur,Grass,Special,120.0
Power Whip,Bulbasaur,Grass,Physical,102.0
Skull Bash,Bulbasaur,Normal,Physical,130.0
Sludge,Bulbasaur,Poison,Special,65.0
Grass Pledge,Bulbasaur,Grass,Special,80.0
Work Up,Bulbasaur,Normal,Status,0.0
Toxic,Bulbasaur,Poison,Status,0.0
Venoshock,Bulbasaur,Poison,Special,65.0
Hidden Power,Bulbasaur,Normal,Special,60.0
Sunny Day,Bulbasaur,Fire,Status,0.0
Light Screen,Bulbasaur,Psychic,Status,0.0
Protect,Bulbasaur,Normal,Status,0.0
Safeguard,Bulbasaur,Normal,Status,0.0
Frustration,Bulbasaur,Normal,Physical,0.0
Solar Beam,Bulbasaur,Grass,Special,200.0
Return,Bulbasaur,Normal,Physical,0.0
Double Team,Bulbasaur,Normal,Status,0.0
Sludge Bomb,Bulbasaur,Poison,Special,90.0
Facade,Bulbasaur,Normal,Physical,70.0
Rest,Bulbasaur,Psychic,Status,0.0
Attract,Bulbasaur,Normal,Status,0.0
Round,Bulbasaur,Normal,Special,60.0
Echoed Voice,Bulbasaur,Normal,Special,40.0
Energy Ball,Bulbasaur,Grass,Special,90.0
Swords Dance,Bulbasaur,Normal,Status,0.0
Grass Knot,Bulbasaur,Grass,Special,0.0
Swagger,Bulbasaur,Normal,Status,0.0
Sleep Talk,Bulbasaur,Normal,Status,0.0
Substitute,Bulbasaur,Normal,Status,0.0
Nature Power,Bulbasaur,Normal,Status,0.0
Confide,Bulbasaur,Normal,Status,0.0
Bide,Bulbasaur,Normal,Physical,0.0
Mega Drain,Bulbasaur,Grass,Special,75.0
Rage,Bulbasaur,Normal,Physical,20.0
Reflect,Bulbasaur,Psychic,Status,0.0
Razor Wind,Bulbasaur,Normal,Special,80.0
Body Slam,Bulbasaur,Normal,Physical,85.0
Defense Curl,Bulbasaur,Normal,Status,0.0
Mimic,Bulbasaur,Normal,Status,0.0
Bullet Seed,Bulbasaur,Grass,Physical,25.0
Captivate,Bulbasaur,Normal,Status,0.0
Natural Gift,Bulbasaur,Normal,Physical,0.0
Fury Cutter,Bulbasaur,Bug,Physical,38.0
Headbutt,Bulbasaur,Normal,Physical,70.0
Mud-Slap,Bulbasaur,Ground,Special,20.0
String Shot,Bulbasaur,Bug,Status,0.0
Flash,Bulbasaur,Normal,Status,0.0
Rock Smash,Bulbasaur,Fighting,Physical,40.0
